"Iteration", "Independent Client (normal)", "Independent Client (elevated)", "Client + Server (normal)", "Client + Server (elevated)"
1, 0.132705, 0.114077, 0.193255, 0.123647
2, 0.132022, 0.111820, 0.197841, 0.114846
3, 0.131557, 0.111532, 0.192740, 0.121017
4, 0.131515, 0.111866, 0.181228, 0.122980
5, 0.131804, 0.111879, 0.191699, 0.107406
6, 0.132117, 0.111887, 0.180807, 0.109429
7, 0.131809, 0.112289, 0.187058, 0.110353
8, 0.132086, 0.114118, 0.180747, 0.114202
9, 0.131754, 0.111514, 0.191051, 0.123370
10, 0.132010, 0.111905, 0.193645, 0.121970
11, 0.131745, 0.113565, 0.185754, 0.120267
12, 0.131634, 0.112045, 0.192727, 0.116965
13, 0.131613, 0.112103, 0.130081, 0.122846
14, 0.132237, 0.112775, 0.129573, 0.114771
15, 0.132089, 0.112166, 0.140918, 0.116859
16, 0.132215, 0.112291, 0.128796, 0.115830
17, 0.131406, 0.112260, 0.127379, 0.121564
18, 0.132071, 0.112254, 0.130666, 0.122716
19, 0.131616, 0.112315, 0.127057, 0.121240
20, 0.131427, 0.112332, 0.138440, 0.107376
21, 0.131517, 0.112477, 0.125459, 0.115845
22, 0.135278, 0.112026, 0.129711, 0.117379
23, 0.131404, 0.112093, 0.129686, 0.123269
24, 0.131752, 0.112270, 0.127458, 0.107283
25, 0.132004, 0.112286, 0.129055, 0.126779
26, 0.132433, 0.112057, 0.128417, 0.110229
27, 0.131650, 0.112336, 0.137878, 0.116154
28, 0.131797, 0.112284, 0.128787, 0.107457
29, 0.131566, 0.112207, 0.136692, 0.115384
30, 0.131730, 0.112656, 0.129782, 0.116342
31, 0.131577, 0.112123, 0.127339, 0.116648
32, 0.131534, 0.112651, 0.127197, 0.116318
33, 0.131524, 0.112170, 0.136664, 0.115849
34, 0.131473, 0.112697, 0.127866, 0.116449
35, 0.131473, 0.112319, 0.129958, 0.115923
36, 0.131862, 0.112138, 0.131089, 0.113571
37, 0.132131, 0.112044, 0.130419, 0.115182
38, 0.131302, 0.112545, 0.127385, 0.116661
39, 0.131428, 0.112415, 0.129141, 0.116197
40, 0.132209, 0.112347, 0.130355, 0.115727
41, 0.131581, 0.112071, 0.136238, 0.116778
42, 0.131511, 0.112872, 0.130635, 0.114989
43, 0.132079, 0.112099, 0.128906, 0.115187
44, 0.131447, 0.112311, 0.127521, 0.115387
45, 0.131964, 0.112277, 0.137648, 0.116212
46, 0.131457, 0.112663, 0.128891, 0.115807
47, 0.131591, 0.112119, 0.131055, 0.124177
48, 0.131526, 0.115320, 0.136356, 0.123059
49, 0.131532, 0.112354, 0.130523, 0.116971
50, 0.131931, 0.111940, 0.128144, 0.114040
51, 0.131776, 0.112240, 0.130194, 0.110927
52, 0.131627, 0.112281, 0.133194, 0.119721
53, 0.131364, 0.112338, 0.131423, 0.115294
54, 0.132561, 0.112087, 0.127323, 0.114578
55, 0.131861, 0.112287, 0.198402, 0.113686
56, 0.132094, 0.112379, 0.198510, 0.110052
57, 0.131866, 0.111674, 0.191659, 0.114245
58, 0.131975, 0.111995, 0.197264, 0.114241
59, 0.132027, 0.111987, 0.184795, 0.113118
60, 0.131720, 0.112104, 0.156213, 0.117772
61, 0.131827, 0.111862, 0.127721, 0.114062
62, 0.131686, 0.112014, 0.128433, 0.118279
63, 0.131940, 0.112019, 0.128436, 0.122596
64, 0.131765, 0.111789, 0.126092, 0.121549
65, 0.131650, 0.112059, 0.120942, 0.115823
66, 0.131667, 0.112173, 0.121671, 0.115789
67, 0.131509, 0.112223, 0.126668, 0.115260
68, 0.131432, 0.115447, 0.132152, 0.116041
69, 0.131385, 0.112604, 0.126859, 0.113985
70, 0.132211, 0.112023, 0.134859, 0.117762
71, 0.131697, 0.113099, 0.130805, 0.119033
72, 0.132068, 0.111461, 0.140217, 0.118142
73, 0.132597, 0.113093, 0.128045, 0.113425
74, 0.131959, 0.112404, 0.137862, 0.122649
75, 0.131414, 0.115020, 0.125136, 0.124731
76, 0.131491, 0.111488, 0.140367, 0.119216
77, 0.131502, 0.111857, 0.133811, 0.113517
78, 0.131083, 0.112504, 0.137345, 0.112961
79, 0.131625, 0.112152, 0.141525, 0.112855
80, 0.132122, 0.112011, 0.126098, 0.114417
81, 0.131782, 0.112110, 0.138765, 0.111673
82, 0.131565, 0.112354, 0.133905, 0.119336
83, 0.131871, 0.112575, 0.132413, 0.111569
84, 0.131930, 0.112302, 0.140741, 0.123740
85, 0.131620, 0.111931, 0.125502, 0.107820
86, 0.131393, 0.112338, 0.139375, 0.118045
87, 0.132163, 0.112157, 0.141917, 0.115522
88, 0.132308, 0.111638, 0.132637, 0.117212
89, 0.131742, 0.112500, 0.125043, 0.122379
90, 0.131909, 0.112654, 0.125418, 0.116129
91, 0.131929, 0.113242, 0.131573, 0.121455
92, 0.131374, 0.112478, 0.131600, 0.123213
93, 0.131863, 0.113098, 0.125467, 0.117720
94, 0.131455, 0.111896, 0.139747, 0.121782
95, 0.132127, 0.112604, 0.129713, 0.107898
96, 0.132258, 0.112158, 0.127415, 0.108147
97, 0.132215, 0.113172, 0.128789, 0.111405
98, 0.131395, 0.112065, 0.128868, 0.116194
99, 0.132273, 0.111883, 0.128879, 0.120890
100, 0.132118, 0.112117, 0.129557, 0.116114
